[2025-09-05 17:11:48.751] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Sign In | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "TestApp", "error_type": "Exception", "error_message": "Accessibility permission denied"}
[2025-09-05 17:11:48.752] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 1.06ms | Context: {"duration_ms": 1.0631084442138672, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 1}
[2025-09-05 17:11:48.752] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Sign In' targeting 'Sign In' in TestApp | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "TestApp", "failure_reasons": ["Permission issue detected: Accessibility permission denied", "All 1 search attempts failed"], "recommendations": ["Grant accessibility permissions in System Preferences", "Try different search strategies or verify element exists"], "failure_count": 2}
[2025-09-05 17:11:48.752] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Sign In | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "TestApp", "error_type": "Exception", "error_message": "Element not found in accessibility tree"}
[2025-09-05 17:11:48.752] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.13ms | Context: {"duration_ms": 0.13184547424316406, "failure_reasons_count": 3, "recommendations_count": 3, "closest_matches_count": 1}
[2025-09-05 17:11:48.752] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Sign In' targeting 'Sign In' in TestApp | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "TestApp", "failure_reasons": ["Permission issue detected: Element not found in accessibility tree", "Element_Detection issue detected: Element not found in accessibility tree", "All 1 search attempts failed"], "recommendations": ["Grant accessibility permissions in System Preferences", "Verify element exists and is visible", "Try different search strategies or verify element exists"], "failure_count": 3}
[2025-09-05 17:13:12.240] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Sign In button | Context: {"command": "Click Sign In button", "target": "Sign In", "app_name": "TestApp", "error_type": "AccessibilityPermissionError", "error_message": "Accessibility permission denied for application"}
[2025-09-05 17:13:12.240] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.38ms | Context: {"duration_ms": 0.3788471221923828, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 0}
[2025-09-05 17:13:12.240] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Sign In button' targeting 'Sign In' in TestApp | Context: {"command": "Click Sign In button", "target": "Sign In", "app_name": "TestApp", "failure_reasons": ["Permission issue detected: Accessibility permission denied for application", "All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists", "Grant accessibility permissions in System Preferences"], "failure_count": 2}
[2025-09-05 17:13:12.258] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Sign In | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "SlowApp", "error_type": "AccessibilityTimeoutError", "error_message": "Element search timed out after 5000ms"}
[2025-09-05 17:13:12.259] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.98ms | Context: {"duration_ms": 0.9782314300537109, "failure_reasons_count": 3, "recommendations_count": 3, "closest_matches_count": 0}
[2025-09-05 17:13:12.259] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Sign In' targeting 'Sign In' in SlowApp | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "SlowApp", "failure_reasons": ["Performance issue detected: Element search timed out after 5000ms", "All 3 search attempts failed", "Search operations are slow (avg: 3500.0ms)"], "recommendations": ["Try different search strategies or verify element exists", "Increase timeout or optimize search parameters", "Optimize search parameters or increase system resources"], "failure_count": 3}
[2025-09-05 17:13:12.259] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Sign In | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "ComplexApp", "error_type": "Exception", "error_message": "Multiple issues: permission denied, element not found, timeout"}
